"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight	Min Daily Sunlight	Max Daily Sunlight
	"Judith Basin County, MT"	"30045"	14379.97	409802	1607.20	28970.60
	"Lake County, MT"	"30047"	14116.76	421855	1116.30	31462.70
	"Lewis and Clark County, MT"	"30049"	14861.17	843710	1670.60	31453.90
	"Liberty County, MT"	"30051"	14313.86	337484	1220.40	29989.70
	"Lincoln County, MT"	"30053"	13924.49	891922	1179.90	31167.90
	"McCone County, MT"	"30055"	14704.93	638809	1251.10	30709.00
	"Madison County, MT"	"30057"	15496.35	807551	1987.60	30988.90
	"Meagher County, MT"	"30059"	14807.01	578544	1861.60	29664.60
	"Mineral County, MT"	"30061"	14498.81	289272	1461.60	32706.90
	"Missoula County, MT"	"30063"	14859.26	626756	1518.20	32801.80
	"Musselshell County, MT"	"30065"	14896.89	458014	1524.10	29696.20
	"Park County, MT"	"30067"	15474.95	590597	1907.30	34035.30
	"Petroleum County, MT"	"30069"	14779.86	409802	1421.50	29721.40
	"Phillips County, MT"	"30071"	14582.46	1277618	1202.00	30207.50
	"Pondera County, MT"	"30073"	14359.13	385696	1397.90	30370.60
	"Powder River County, MT"	"30075"	15398.54	723180	1631.20	30064.00
	"Powell County, MT"	"30077"	14917.91	554438	1545.70	31460.80
	"Prairie County, MT"	"30079"	14745.28	373643	1553.80	30046.90
	"Ravalli County, MT"	"30081"	15138.77	542385	1412.00	31855.90
	"Richland County, MT"	"30083"	14591.48	542385	1233.70	30349.90
	"Roosevelt County, MT"	"30085"	14545.10	638809	1263.90	30334.60
	"Rosebud County, MT"	"30087"	15092.55	1205300	1520.80	30224.30
	"Sanders County, MT"	"30089"	14119.29	626756	1142.40	31148.20
	"Sheridan County, MT"	"30091"	14312.27	421855	1301.40	30301.60
	"Silver Bow County, MT"	"30093"	15182.11	156689	1993.20	29502.50
	"Stillwater County, MT"	"30095"	15170.45	409802	1551.30	33182.70
	"Sweet Grass County, MT"	"30097"	15089.52	458014	1707.80	34309.80
	"Teton County, MT"	"30099"	14539.53	566491	1555.60	29869.90
	"Toole County, MT"	"30101"	14306.62	470067	1245.50	30243.90
	"Treasure County, MT"	"30103"	15071.44	229007	1583.20	30002.60
	"Valley County, MT"	"30105"	14630.33	1229406	1197.50	30734.70
	"Wheatland County, MT"	"30107"	14672.48	337484	1580.50	28865.90
	"Wibaux County, MT"	"30109"	14702.70	241060	1377.40	29838.60
	"Yellowstone County, MT"	"30111"	15049.25	566491	1506.20	29838.50
	"Yellowstone National Park, MT"	"30113"	16179.86	60265	2384.00	30949.50
	"Adams County, NE"	"31001"	15816.52	144636	1704.90	29137.80
	"Antelope County, NE"	"31003"	15205.55	144636	1759.70	28599.90
	"Arthur County, NE"	"31005"	16245.48	180795	2084.30	29624.30
	"Banner County, NE"	"31007"	16355.09	180795	2198.30	28878.40
	"Blaine County, NE"	"31009"	15521.30	180795	1805.50	28656.80
	"Boone County, NE"	"31011"	15301.10	108477	1786.00	28801.70
	"Box Butte County, NE"	"31013"	16194.43	216954	2084.30	29212.80
	"Boyd County, NE"	"31015"	15114.74	120530	1679.90	29113.20
	"Brown County, NE"	"31017"	15382.03	253113	1787.40	28770.60
	"Buffalo County, NE"	"31019"	15817.63	180795	1683.80	29223.20
	"Burt County, NE"	"31021"	15013.03	108477	1469.90	28776.60
	"Butler County, NE"	"31023"	15400.41	156689	1684.80	28938.50
	"Cass County, NE"	"31025"	15367.57	132583	1628.70	29397.10
	"Cedar County, NE"	"31027"	14928.97	156689	1598.80	28304.60
	"Chase County, NE"	"31029"	16665.21	180795	2077.60	30077.30
	"Cherry County, NE"	"31031"	15675.88	1301724	1742.80	29072.00
	"Cheyenne County, NE"	"31033"	16479.65	216954	2140.80	29657.20
	"Clay County, NE"	"31035"	15733.40	108477	1640.40	29070.40
	"Colfax County, NE"	"31037"	15259.15	96424	1605.10	28844.10
	"Cuming County, NE"	"31039"	15024.56	144636	1469.20	28579.90
	"Custer County, NE"	"31041"	15777.93	578544	1828.60	29192.90
	"Dakota County, NE"	"31043"	14924.74	72318	1519.30	28367.20
	"Dawes County, NE"	"31045"	16062.27	349537	1787.60	29108.80
	"Dawson County, NE"	"31047"	16013.05	192848	1729.30	29077.80
	"Deuel County, NE"	"31049"	16422.26	120530	2121.50	29820.00
	"Dixon County, NE"	"31051"	14884.83	108477	1622.70	28137.20
	"Dodge County, NE"	"31053"	15149.14	120530	1534.80	28913.30
	"Douglas County, NE"	"31055"	15170.73	60265	1592.30	29267.40
	"Dundy County, NE"	"31057"	16773.94	180795	2075.80	29783.30
	"Fillmore County, NE"	"31059"	15719.78	144636	1781.20	29181.50
	"Franklin County, NE"	"31061"	16098.49	108477	1772.70	28882.80
	"Frontier County, NE"	"31063"	16343.19	204901	1749.10	29499.10
	"Furnas County, NE"	"31065"	16373.85	180795	1654.60	29363.40
	"Gage County, NE"	"31067"	15677.92	144636	1893.20	28987.00
	"Garden County, NE"	"31069"	16278.25	337484	2004.00	29769.50
	"Garfield County, NE"	"31071"	15351.45	144636	1759.00	28723.20
	"Gosper County, NE"	"31073"	16167.60	120530	1720.90	29033.40
	"Grant County, NE"	"31075"	16069.54	204901	1937.90	29536.20
	"Greeley County, NE"	"31077"	15402.09	144636	1722.20	28686.50
	"Hall County, NE"	"31079"	15652.29	96424	1690.00	29297.80
	"Hamilton County, NE"	"31081"	15606.08	84371	1650.60	29019.00
	"Harlan County, NE"	"31083"	16229.85	144636	1712.70	29269.30
	"Hayes County, NE"	"31085"	16509.75	180795	2062.70	29863.50
	"Hitchcock County, NE"	"31087"	16646.16	180795	2061.90	29633.00
	"Holt County, NE"	"31089"	15210.13	530332	1725.00	29274.50
	"Hooker County, NE"	"31091"	15889.72	144636	1817.50	29318.80
	"Howard County, NE"	"31093"	15519.61	144636	1800.40	29161.90
	"Jefferson County, NE"	"31095"	15782.67	144636	1921.20	29002.90
	"Johnson County, NE"	"31097"	15510.71	96424	1905.10	28957.00
	"Kearney County, NE"	"31099"	15920.71	72318	1777.50	28847.50
	"Keith County, NE"	"31101"	16352.99	216954	2148.20	29821.80
	"Keya Paha County, NE"	"31103"	15230.31	180795	1663.60	29234.00
	"Kimball County, NE"	"31105"	16475.67	180795	2282.80	29220.00
	"Knox County, NE"	"31107"	15050.15	241060	1581.00	28835.50
	"Lancaster County, NE"	"31109"	15488.21	144636	1562.80	29109.50
	"Lincoln County, NE"	"31111"	16194.92	482120	1863.40	29784.90
	"Logan County, NE"	"31113"	15897.33	144636	1948.60	29238.30
	"Loup County, NE"	"31115"	15433.81	108477	1787.00	28758.60
	"McPherson County, NE"	"31117"	16084.37	180795	2087.30	29545.80
	"Madison County, NE"	"31119"	15189.50	144636	1622.00	28617.40
	"Merrick County, NE"	"31121"	15474.04	84371	1820.10	29102.60
	"Morrill County, NE"	"31123"	16306.91	361590	2067.30	29446.20
	"Nance County, NE"	"31125"	15369.65	96424	1777.30	29055.70
	"Nemaha County, NE"	"31127"	15410.92	72318	1752.50	29366.20
	"Nuckolls County, NE"	"31129"	15908.96	108477	1987.80	29005.80
	"Otoe County, NE"	"31131"	15439.24	132583	1768.10	29153.20
	"Pawnee County, NE"	"31133"	15558.06	96424	1772.20	29013.00
	"Perkins County, NE"	"31135"	16487.00	144636	1987.50	30027.80
	"Phelps County, NE"	"31137"	16079.28	96424	1733.50	29084.80
	"Pierce County, NE"	"31139"	15114.32	132583	1684.40	28311.70
	"Platte County, NE"	"31141"	15296.64	168742	1700.70	28757.40
	"Polk County, NE"	"31143"	15479.85	108477	1779.60	29056.80
	"Red Willow County, NE"	"31145"	16528.38	144636	1634.50	29595.60
	"Richardson County, NE"	"31147"	15439.47	108477	1645.50	29264.30
	"Rock County, NE"	"31149"	15293.81	180795	1755.30	29129.30
	"Saline County, NE"	"31151"	15634.45	144636	1664.60	29137.20
	"Sarpy County, NE"	"31153"	15253.16	72318	1616.70	29374.30
	"Saunders County, NE"	"31155"	15313.08	156689	1609.90	29346.50
	"Scotts Bluff County, NE"	"31157"	16285.99	120530	2157.10	29143.60
	"Seward County, NE"	"31159"	15497.66	96424	1624.30	28992.30
	"Sheridan County, NE"	"31161"	16047.68	518279	1994.50	29326.20
	"Sherman County, NE"	"31163"	15615.49	144636	1833.00	29114.40
	"Sioux County, NE"	"31165"	16178.27	397749	1778.40	29174.80
	"Stanton County, NE"	"31167"	15089.30	108477	1611.80	28633.50
	"Thayer County, NE"	"31169"	15852.97	144636	1915.50	29012.40
	"Thomas County, NE"	"31171"	15691.02	180795	1834.00	29014.70
	"Thurston County, NE"	"31173"	14952.66	72318	1437.10	28354.00
	"Valley County, NE"	"31175"	15476.75	144636	1803.40	28860.30
	"Washington County, NE"	"31177"	15122.26	72318	1517.40	29194.60
	"Wayne County, NE"	"31179"	14978.29	84371	1527.70	28318.40
	"Webster County, NE"	"31181"	16006.01	144636	1777.80	29011.30
	"Wheeler County, NE"	"31183"	15274.22	144636	1728.60	28648.80
	"York County, NE"	"31185"	15578.61	96424	1663.20	29025.60
	"Churchill County, NV"	"32001"	17956.78	1024505	2263.10	31811.80
	"Clark County, NV"	"32003"	19424.20	1687420	2399.50	31985.50
	"Douglas County, NV"	"32005"	18491.07	156689	2828.10	31409.40
	"Elko County, NV"	"32007"	16979.17	3724377	2027.70	30903.70
	"Esmeralda County, NV"	"32009"	19090.34	759339	2816.70	32194.90
	"Eureka County, NV"	"32011"	17438.91	964240	2057.00	30555.70
	"Humboldt County, NV"	"32013"	17205.88	2097222	1992.80	31754.70
	"Lander County, NV"	"32015"	17438.72	1132982	2068.30	30832.60
	"Lincoln County, NV"	"32017"	18863.22	2109275	2355.20	31786.00
	"Lyon County, NV"	"32019"	18427.20	433908	2692.70	31444.20
	"Mineral County, NV"	"32021"	18667.35	819604	2712.10	31455.80
	"Nye County, NV"	"32023"	18715.43	3712324	2387.10	32449.20
	"Pershing County, NV"	"32027"	17692.14	1289671	2262.50	31925.50
	"Storey County, NV"	"32029"	18528.72	48212	2798.90	31744.90
	"Washoe County, NV"	"32031"	17943.45	1410201	2193.40	32596.30
	"White Pine County, NV"	"32033"	17680.74	1952586	2709.50	30836.80
	"Carson City, NV"	"32510"	18498.76	24106	2990.60	30984.40
	"Belknap County, NH"	"33001"	14305.98	108477	1776.50	30416.90
	"Carroll County, NH"	"33003"	14198.30	204901	1736.00	30679.40
	"Cheshire County, NH"	"33005"	14165.88	144636	1753.10	29179.50
	"Coos County, NH"	"33007"	13335.27	421855	1470.30	30919.50
	"Grafton County, NH"	"33009"	13707.38	385696	1496.90	29758.90
	"Hillsborough County, NH"	"33011"	14293.14	180795	1655.60	30147.30
	"Merrimack County, NH"	"33013"	14212.56	204901	1707.70	29920.70
	"Rockingham County, NH"	"33015"	14685.55	168742	1570.90	33518.30
	"Strafford County, NH"	"33017"	14410.52	72318	1652.50	31123.20
	"Sullivan County, NH"	"33019"	14007.95	132583	1716.30	28912.80
	"Atlantic County, NJ"	"34001"	15781.40	108477	1531.40	31243.60
	"Bergen County, NJ"	"34003"	15146.02	60265	1660.30	33822.20
	"Burlington County, NJ"	"34005"	15331.25	168742	1701.70	31540.00
	"Camden County, NJ"	"34007"	15169.71	60265	1553.90	29841.00
	"Cape May County, NJ"	"34009"	16696.23	36159	1622.90	31391.50
	"Cumberland County, NJ"	"34011"	15634.76	120530	1528.40	30630.10
	"Essex County, NJ"	"34013"	14934.45	36159	1684.40	30634.50
	"Gloucester County, NJ"	"34015"	15203.76	72318	1512.20	30006.20
	"Hudson County, NJ"	"34017"	15356.93	12053	1756.00	30965.40
	"Hunterdon County, NJ"	"34019"	14859.13	108477	1663.40	30072.80
	"Mercer County, NJ"	"34021"	14984.25	48212	1775.30	29997.10
	"Middlesex County, NJ"	"34023"	15099.43	72318	1830.70	30909.50
	"Monmouth County, NJ"	"34025"	15632.67	96424	1805.10	31517.10
	"Morris County, NJ"	"34027"	14787.79	96424	1673.00	29877.70
	"Ocean County, NJ"	"34029"	15925.35	120530	1640.20	31717.00
	"Passaic County, NJ"	"34031"	14800.18	36159	1675.90	30302.40
	"Salem County, NJ"	"34033"	15301.97	60265	1478.80	30015.40
	"Somerset County, NJ"	"34035"	14922.63	72318	1759.90	30254.20
	"Sussex County, NJ"	"34037"	14705.62	120530	1581.20	29792.10
	"Union County, NJ"	"34039"	15146.37	12053	1835.30	30472.70
	"Warren County, NJ"	"34041"	14728.68	84371	1600.10	29438.40
	"Bernalillo County, NM"	"35001"	19105.29	253113	3064.20	31233.80
	"Catron County, NM"	"35003"	19028.99	1277618	3371.50	31536.70
	"Chaves County, NM"	"35005"	19556.97	1120929	2582.80	31016.50
	"Cibola County, NM"	"35006"	18923.08	891922	3129.50	30961.70
	"Colfax County, NM"	"35007"	18441.10	759339	2813.00	30799.40
	"Curry County, NM"	"35009"	19039.10	325431	2964.40	30427.70
	"DeBaca County, NM"	"35011"	19352.69	458014	2553.70	30434.30
	"Dona Ana County, NM"	"35013"	19991.22	699074	2905.50	31574.60
	"Eddy County, NM"	"35015"	19623.43	867816	2523.90	30774.60
	"Grant County, NM"	"35017"	19959.35	759339	3063.70	32193.10
	"Guadalupe County, NM"	"35019"	19264.85	590597	2706.60	31146.10
	"Harding County, NM"	"35021"	19038.52	445961	2687.60	31058.10
	"Hidalgo County, NM"	"35023"	20364.15	578544	3208.00	31645.50
	"Lea County, NM"	"35025"	19541.24	940134	2476.60	30712.10
	"Lincoln County, NM"	"35027"	19176.52	952187	2882.40	30899.60
	"Los Alamos County, NM"	"35028"	18566.14	12053	3674.10	29891.20
	"Luna County, NM"	"35029"	20337.07	638809	2997.30	31725.60
	"McKinley County, NM"	"35031"	18529.02	988346	2937.60	31225.00
	"Mora County, NM"	"35033"	18775.35	409802	2914.60	30862.60
	"Otero County, NM"	"35035"	19563.92	1241459	2907.50	30838.90
	"Quay County, NM"	"35037"	18997.12	590597	2572.40	30980.40
	"Rio Arriba County, NM"	"35039"	18221.10	1157088	2754.20	31035.10
	"Roosevelt County, NM"	"35041"	19222.03	445961	2687.40	30347.10
	"Sandoval County, NM"	"35043"	18719.37	711127	3240.80	31338.10
	"San Juan County, NM"	"35045"	18457.22	1072717	2967.50	31399.70
	"San Miguel County, NM"	"35047"	19106.91	940134	2683.10	31262.70
	"Santa Fe County, NM"	"35049"	18874.09	385696	3143.00	31149.90
	"Sierra County, NM"	"35051"	19770.07	843710	2775.00	31317.20
	"Socorro County, NM"	"35053"	19473.73	1361989	2960.50	31233.60
	"Taos County, NM"	"35055"	17949.14	445961	3852.30	30262.60
	"Torrance County, NM"	"35057"	19122.37	662915	3274.70	30950.20
	"Union County, NM"	"35059"	18726.72	783445	2610.30	30879.50
	"Valencia County, NM"	"35061"	19201.38	204901	3048.30	31250.70
	"Albany County, NY"	"36001"	14228.03	108477	1610.20	30347.00
	"Allegany County, NY"	"36003"	13715.51	192848	1649.10	28579.40
	"Bronx County, NY"	"36005"	16347.27	12053	1819.90	34059.10
	"Broome County, NY"	"36007"	13654.12	168742	1476.20	28466.90
	"Cattaraugus County, NY"	"36009"	13584.84	289272	1535.40	28051.40
	"Cayuga County, NY"	"36011"	13683.34	180795	1412.40	29816.00
	"Chautauqua County, NY"	"36013"	13663.71	241060	1421.30	27918.80
	"Chemung County, NY"	"36015"	13748.13	96424	1567.30	28679.60
	"Chenango County, NY"	"36017"	13637.18	204901	1449.50	28500.60
	"Clinton County, NY"	"36019"	13628.76	265166	1472.40	31357.80
	"Columbia County, NY"	"36021"	14271.84	144636	1565.80	29777.00
	"Cortland County, NY"	"36023"	13630.83	108477	1432.30	28318.00
	"Delaware County, NY"	"36025"	13774.70	289272	1496.30	28240.60
	"Dutchess County, NY"	"36027"	14562.98	204901	1585.50	30050.90
	"Erie County, NY"	"36029"	13842.57	204901	1467.50	32874.20
	"Essex County, NY"	"36031"	13652.36	421855	1527.40	31226.70
	"Franklin County, NY"	"36033"	13130.09	385696	1511.10	29900.10
	"Fulton County, NY"	"36035"	14193.42	120530	1592.80	30048.10
	"Genesee County, NY"	"36037"	14525.80	108477	1533.60	32883.90
	"Greene County, NY"	"36039"	14236.93	156689	1522.20	29528.20
	"Hamilton County, NY"	"36041"	13530.47	409802	1513.70	29583.90
	"Herkimer County, NY"	"36043"	13566.86	337484	1483.20	29481.30
	"Jefferson County, NY"	"36045"	13749.90	301325	1151.50	30548.30
	"Kings County, NY"	"36047"	16509.32	12053	1731.50	33980.50
	"Lewis County, NY"	"36049"	13405.76	289272	1384.70	28999.40
	"Livingston County, NY"	"36051"	13598.48	132583	1447.60	29054.70
	"Madison County, NY"	"36053"	13726.14	120530	1466.00	28589.90
	"Monroe County, NY"	"36055"	15198.14	144636	1504.30	32943.10
	"Montgomery County, NY"	"36057"	14230.87	96424	1639.10	30295.10
	"Nassau County, NY"	"36059"	16465.82	60265	1674.20	33868.80
	"New York County, NY"	"36061"	16237.04	12053	1736.80	33957.30
	"Niagara County, NY"	"36063"	15234.31	84371	1497.40	33563.50
	"Oneida County, NY"	"36065"	13716.46	277219	1522.10	29386.30
	"Onondaga County, NY"	"36067"	13680.24	204901	1481.80	29928.40
	"Ontario County, NY"	"36069"	13747.38	144636	1418.00	29970.20
	"Orange County, NY"	"36071"	14641.77	192848	1605.40	30230.60
	"Orleans County, NY"	"36073"	15363.02	96424	1613.90	33438.30
	"Oswego County, NY"	"36075"	13830.73	229007	1484.90	30677.10
	"Otsego County, NY"	"36077"	13811.44	229007	1553.90	29010.90
	"Putnam County, NY"	"36079"	14662.73	48212	1671.00	29948.70
	"Queens County, NY"	"36081"	16525.61	12053	1772.70	34025.40
	"Rensselaer County, NY"	"36083"	13889.22	156689	1617.90	29875.90
	"Richmond County, NY"	"36085"	15729.30	12053	1837.80	31125.60
	"Rockland County, NY"	"36087"	14938.66	36159	1711.10	30859.80
	"St. Lawrence County, NY"	"36089"	13335.28	626756	1433.50	30663.40
	"Saratoga County, NY"	"36091"	14131.68	180795	1728.60	30384.80
	"Schenectady County, NY"	"36093"	14250.77	48212	1697.20	30380.30
	"Schoharie County, NY"	"36095"	14145.09	120530	1679.60	30221.40
	"Schuyler County, NY"	"36097"	13596.36	84371	1531.50	28451.50
	"Seneca County, NY"	"36099"	13662.80	84371	1407.90	30079.80
	"Steuben County, NY"	"36101"	13740.66	313378	1515.20	28855.40
	"Suffolk County, NY"	"36103"	16303.96	216954	1562.60	33493.80
	"Sullivan County, NY"	"36105"	14409.60	216954	1587.90	29850.90
	"Tioga County, NY"	"36107"	13710.81	84371	1493.20	28337.10
	"Tompkins County, NY"	"36109"	13598.89	120530	1460.50	28458.20
	"Ulster County, NY"	"36111"	14536.64	229007	1599.90	29855.90
	"Warren County, NY"	"36113"	13959.57	204901	1638.50	29853.20
	"Washington County, NY"	"36115"	13763.65	192848	1616.50	29877.90
	"Wayne County, NY"	"36117"	14608.21	132583	1437.40	33217.30
	"Westchester County, NY"	"36119"	15136.59	108477	1741.70	33803.10
	"Wyoming County, NY"	"36121"	13769.64	144636	1517.50	28760.40
	"Yates County, NY"	"36123"	13702.68	72318	1464.50	29645.30
	"Alamance County, NC"	"37001"	16357.00	72318	1776.10	32389.80
	"Alexander County, NC"	"37003"	16360.97	48212	1843.50	32524.80
	"Alleghany County, NC"	"37005"	15909.32	72318	1920.50	29970.00
	"Anson County, NC"	"37007"	16759.50	96424	1887.10	34333.60
	"Ashe County, NC"	"37009"	15724.05	96424	2048.80	28958.50
	"Avery County, NC"	"37011"	15869.70	48212	2260.10	28728.30
	"Beaufort County, NC"	"37013"	16565.49	168742	1859.40	33602.70
	"Bertie County, NC"	"37015"	16241.19	156689	1674.00	34314.90
	"Bladen County, NC"	"37017"	16692.34	168742	2006.70	34559.00
	"Brunswick County, NC"	"37019"	17802.63	168742	2089.20	37208.50
	"Buncombe County, NC"	"37021"	16347.56	108477	2232.30	29161.40
	"Burke County, NC"	"37023"	16397.72	108477	1976.40	32186.70
	"Cabarrus County, NC"	"37025"	16602.00	60265	1839.00	33855.10
	"Caldwell County, NC"	"37027"	16285.49	96424	1975.80	31622.20
	"Camden County, NC"	"37029"	16397.66	36159	1720.50	32882.80
	"Carteret County, NC"	"37031"	18141.80	84371	1749.20	35355.30
	"Caswell County, NC"	"37033"	16196.64	72318	1895.20	31603.60
	"Catawba County, NC"	"37035"	16607.51	96424	1947.00	32817.70
	"Chatham County, NC"	"37037"	16442.10	144636	1768.60	33575.70
	"Cherokee County, NC"	"37039"	16020.15	96424	2090.10	32686.50
	"Chowan County, NC"	"37041"	16539.51	48212	1755.40	34372.70
	"Clay County, NC"	"37043"	16091.45	24106	2169.90	28954.90
	"Cleveland County, NC"	"37045"	16734.78	108477	1902.40	33276.20
	"Columbus County, NC"	"37047"	16903.00	180795	2010.30	34354.00
	"Craven County, NC"	"37049"	16672.40	96424	1803.00	35428.60
	"Cumberland County, NC"	"37051"	16504.77	132583	1892.20	34208.70
	"Currituck County, NC"	"37053"	17418.58	36159	1769.90	33819.10
	"Dare County, NC"	"37055"	17977.30	60265	1797.60	34307.40
	"Davidson County, NC"	"37057"	16501.20	144636	1888.30	33167.00
	"Davie County, NC"	"37059"	16451.14	48212	1897.30	32860.50
	"Duplin County, NC"	"37061"	16427.11	132583	1978.60	33401.60
	"Durham County, NC"	"37063"	16277.56	72318	1792.20	32457.70
	"Edgecombe County, NC"	"37065"	16167.15	96424	1885.20	33532.80
	"Forsyth County, NC"	"37067"	16326.43	96424	1983.70	32403.80
	"Franklin County, NC"	"37069"	16149.30	96424	1788.50	32689.60
	"Gaston County, NC"	"37071"	16717.64	60265	1871.20	33743.20
	"Gates County, NC"	"37073"	16053.90	60265	1669.90	33540.10
	"Graham County, NC"	"37075"	15848.29	60265	2134.50	29641.60
	"Granville County, NC"	"37077"	16187.35	84371	1836.80	32156.20
	"Greene County, NC"	"37079"	16243.31	60265	1913.90	33633.10
	"Guilford County, NC"	"37081"	16334.90	144636	1751.20	32310.30
	"Halifax County, NC"	"37083"	16125.07	132583	1837.70	33223.20
	"Harnett County, NC"	"37085"	16393.37	96424	1823.40	33781.50
	"Haywood County, NC"	"37087"	16117.10	120530	2188.50	29284.60
	"Henderson County, NC"	"37089"	16592.13	84371	2219.70	30694.50
	"Hertford County, NC"	"37091"	16106.38	48212	1684.10	33378.30
	"Hoke County, NC"	"37093"	16578.94	60265	1830.90	34300.30
	"Hyde County, NC"	"37095"	16948.37	132583	1856.50	33657.00
	"Iredell County, NC"	"37097"	16502.31	108477	1849.70	32692.90
	"Jackson County, NC"	"37099"	16192.52	96424	2181.90	30206.40
	"Johnston County, NC"	"37101"	16315.88	156689	1857.60	33693.70
	"Jones County, NC"	"37103"	16599.12	96424	1766.10	33500.90
	"Lee County, NC"	"37105"	16403.90	72318	1766.50	33441.30
	"Lenoir County, NC"	"37107"	16332.60	96424	1988.80	33390.30
	"Lincoln County, NC"	"37109"	16643.43	48212	1912.10	32780.90
	"McDowell County, NC"	"37111"	16457.61	96424	2180.60	31255.20
	"Macon County, NC"	"37113"	16279.46	96424	2181.50	29862.90
	"Madison County, NC"	"37115"	15797.69	96424	2107.00	29362.90
	"Martin County, NC"	"37117"	16245.69	84371	1814.50	33550.60
	"Mecklenburg County, NC"	"37119"	16686.35	108477	1838.30	33991.20
	"Mitchell County, NC"	"37121"	15811.75	36159	2353.30	28619.80
	"Montgomery County, NC"	"37123"	16606.53	108477	1790.90	34209.80
	"Moore County, NC"	"37125"	16482.70	144636	1761.60	33581.80
	"Nash County, NC"	"37127"	16147.04	96424	1829.20	33055.90
	"New Hanover County, NC"	"37129"	17871.64	36159	1938.60	33576.30
	"Northampton County, NC"	"37131"	16080.31	108477	1713.00	33003.80
	"Onslow County, NC"	"37133"	17127.85	132583	1847.00	35029.20
	"Orange County, NC"	"37135"	16335.47	72318	1795.70	32233.70
	"Pamlico County, NC"	"37137"	16935.53	72318	1955.60	33341.90
	"Pasquotank County, NC"	"37139"	16434.06	36159	1762.00	32984.20
	"Pender County, NC"	"37141"	16909.51	168742	1958.50	33434.70
	"Perquimans County, NC"	"37143"	16347.29	60265	1719.10	33861.00
	"Person County, NC"	"37145"	16211.12	72318	1883.90	31933.60
	"Pitt County, NC"	"37147"	16300.61	120530	1884.70	33575.10
	"Polk County, NC"	"37149"	16725.86	48212	2036.90	31724.50
	"Randolph County, NC"	"37151"	16475.47	144636	1785.40	33080.70
	"Richmond County, NC"	"37153"	16669.13	84371	1840.30	34682.00
	"Robeson County, NC"	"37155"	16755.60	192848	2000.20	34633.60
	"Rockingham County, NC"	"37157"	16213.63	96424	1926.20	31872.70
	"Rowan County, NC"	"37159"	16574.38	96424	1857.10	33268.30
	"Rutherford County, NC"	"37161"	16639.44	120530	1967.50	32319.40
	"Sampson County, NC"	"37163"	16469.02	204901	1977.90	34059.90
	"Scotland County, NC"	"37165"	16679.50	60265	1933.70	34632.90
	"Stanly County, NC"	"37167"	16702.98	96424	1868.90	34347.00
	"Stokes County, NC"	"37169"	16261.51	96424	1976.40	32421.60
	"Surry County, NC"	"37171"	16230.90	96424	1874.20	32352.70
	"Swain County, NC"	"37173"	15982.07	108477	2129.30	29619.50
	"Transylvania County, NC"	"37175"	16558.63	72318	2220.90	30377.20
	"Tyrrell County, NC"	"37177"	16594.69	96424	1779.70	33114.20
	"Union County, NC"	"37179"	16796.60	108477	1866.80	34332.80
	"Vance County, NC"	"37181"	16170.95	60265	1833.40	31932.80
	"Wake County, NC"	"37183"	16282.70	180795	1774.10	33603.10
	"Warren County, NC"	"37185"	16166.94	60265	1921.50	32310.30
	"Washington County, NC"	"37187"	16299.65	72318	1728.90	33807.90
	"Watauga County, NC"	"37189"	15815.85	60265	2176.20	29190.00
	"Wayne County, NC"	"37191"	16278.64	108477	1914.10	33615.20
	"Wilkes County, NC"	"37193"	16244.52	156689	1813.60	32451.30
	"Wilson County, NC"	"37195"	16229.98	72318	1858.40	33668.70
	"Yadkin County, NC"	"37197"	16361.57	72318	1840.20	32647.10
	"Yancey County, NC"	"37199"	15934.05	60265	2258.40	28319.90
	"Adams County, ND"	"38001"	14939.35	192848	1454.00	29609.50
	"Barnes County, ND"	"38003"	14513.28	397749	1395.60	29814.20
	"Benson County, ND"	"38005"	14426.91	313378	1427.50	29870.50
	"Billings County, ND"	"38007"	14685.24	289272	1579.50	29647.50
	"Bottineau County, ND"	"38009"	14344.47	470067	1403.70	30088.30
	"Bowman County, ND"	"38011"	14957.58	192848	1723.70	29552.80
	"Burke County, ND"	"38013"	14340.06	313378	1357.10	29937.10
	"Burleigh County, ND"	"38015"	14737.89	397749	1485.50	29884.40
	"Cass County, ND"	"38017"	14446.77	421855	1389.20	29723.70
	"Cavalier County, ND"	"38019"	14021.59	409802	1078.40	29674.70
	"Dickey County, ND"	"38021"	14647.92	253113	1427.20	29308.40
	"Divide County, ND"	"38023"	14301.00	301325	1436.80	30025.00
	"Dunn County, ND"	"38025"	14568.15	458014	1557.40	29405.40
	"Eddy County, ND"	"38027"	14436.91	144636	1417.30	29580.10
	"Emmons County, ND"	"38029"	14754.14	361590	1418.60	29585.80
	"Foster County, ND"	"38031"	14455.52	144636	1350.60	29507.40
	"Golden Valley County, ND"	"38033"	14690.39	241060	1509.90	29794.60
	"Grand Forks County, ND"	"38035"	14283.18	409802	1373.90	29784.40
	"Grant County, ND"	"38037"	14826.12	397749	1419.50	29493.50
	"Griggs County, ND"	"38039"	14488.35	144636	1401.10	29751.60
	"Hettinger County, ND"	"38041"	14846.76	253113	1487.10	29464.00
	"Kidder County, ND"	"38043"	14694.35	361590	1466.90	29404.30
	"LaMoure County, ND"	"38045"	14554.14	289272	1431.00	29464.10
	"Logan County, ND"	"38047"	14670.93	253113	1470.20	29146.70
