Notes,County,County Code,Avg Daily Sunlight (KJ/mｲ),# of Observations for Daily Sunlight,Min Daily Sunlight,Max Daily Sunlight
,"Broadwater County, MT",30007,14930.04,277219,1875.7,29838.3
,"Carbon County, MT",30009,15386.47,494173,1550.5,29319.4
,"Carter County, MT",30011,15212.04,807551,1688.8,30028.4
,"Cascade County, MT",30013,14497.45,674968,1634.4,29575.4
,"Chouteau County, MT",30015,14459.64,916028,1355.4,29760.4
,"Custer County, MT",30017,15017.99,928081,1656,30005.5
,"Daniels County, MT",30019,14278.2,301325,1262,29998.6
,"Dawson County, MT",30021,14595.75,566491,1310.7,30223.1
,"Deer Lodge County, MT",30023,15245.01,180795,1683.5,29916.1
,"Fallon County, MT",30025,14844.44,409802,1363.3,29648.1
,"Fergus County, MT",30027,14602.58,1024505,1440.3,29733.7
,"Flathead County, MT",30029,14009.25,1241459,1133.6,32922
,"Gallatin County, MT",30031,15301.21,602650,1940.2,32223.9
,"Garfield County, MT",30033,14830.9,1108876,1247.9,30791
,"Glacier County, MT",30035,14329.48,783445,1264,31537
,"Golden Valley County, MT",30037,14805.42,289272,1556.1,29130.5
,"Granite County, MT",30039,15036.43,421855,1613,31501.4
,"Hill County, MT",30041,14355.43,747286,1277.8,30877.4
,"Jefferson County, MT",30043,14885.29,409802,1863.2,29710.1
,"Judith Basin County, MT",30045,14379.97,409802,1607.2,28970.6
,"Lake County, MT",30047,14116.76,421855,1116.3,31462.7
,"Lewis and Clark County, MT",30049,14861.17,843710,1670.6,31453.9
,"Liberty County, MT",30051,14313.86,337484,1220.4,29989.7
,"Lincoln County, MT",30053,13924.49,891922,1179.9,31167.9
,"McCone County, MT",30055,14704.93,638809,1251.1,30709
,"Madison County, MT",30057,15496.35,807551,1987.6,30988.9
,"Meagher County, MT",30059,14807.01,578544,1861.6,29664.6
,"Mineral County, MT",30061,14498.81,289272,1461.6,32706.9
,"Missoula County, MT",30063,14859.26,626756,1518.2,32801.8
,"Musselshell County, MT",30065,14896.89,458014,1524.1,29696.2
,"Park County, MT",30067,15474.95,590597,1907.3,34035.3
,"Petroleum County, MT",30069,14779.86,409802,1421.5,29721.4
,"Phillips County, MT",30071,14582.46,1277618,1202,30207.5
,"Pondera County, MT",30073,14359.13,385696,1397.9,30370.6
,"Powder River County, MT",30075,15398.54,723180,1631.2,30064
,"Powell County, MT",30077,14917.91,554438,1545.7,31460.8
,"Prairie County, MT",30079,14745.28,373643,1553.8,30046.9
,"Ravalli County, MT",30081,15138.77,542385,1412,31855.9
,"Richland County, MT",30083,14591.48,542385,1233.7,30349.9
,"Roosevelt County, MT",30085,14545.1,638809,1263.9,30334.6
,"Rosebud County, MT",30087,15092.55,1205300,1520.8,30224.3
,"Sanders County, MT",30089,14119.29,626756,1142.4,31148.2
,"Sheridan County, MT",30091,14312.27,421855,1301.4,30301.6
,"Silver Bow County, MT",30093,15182.11,156689,1993.2,29502.5
,"Stillwater County, MT",30095,15170.45,409802,1551.3,33182.7
,"Sweet Grass County, MT",30097,15089.52,458014,1707.8,34309.8
,"Teton County, MT",30099,14539.53,566491,1555.6,29869.9
,"Toole County, MT",30101,14306.62,470067,1245.5,30243.9
,"Treasure County, MT",30103,15071.44,229007,1583.2,30002.6
,"Valley County, MT",30105,14630.33,1229406,1197.5,30734.7
,"Wheatland County, MT",30107,14672.48,337484,1580.5,28865.9
,"Wibaux County, MT",30109,14702.7,241060,1377.4,29838.6
,"Yellowstone County, MT",30111,15049.25,566491,1506.2,29838.5
,"Yellowstone National Park, MT",30113,16179.86,60265,2384,30949.5
,"Adams County, NE",31001,15816.52,144636,1704.9,29137.8
,"Antelope County, NE",31003,15205.55,144636,1759.7,28599.9
,"Arthur County, NE",31005,16245.48,180795,2084.3,29624.3
,"Banner County, NE",31007,16355.09,180795,2198.3,28878.4
,"Blaine County, NE",31009,15521.3,180795,1805.5,28656.8
,"Boone County, NE",31011,15301.1,108477,1786,28801.7
,"Box Butte County, NE",31013,16194.43,216954,2084.3,29212.8
,"Boyd County, NE",31015,15114.74,120530,1679.9,29113.2
,"Brown County, NE",31017,15382.03,253113,1787.4,28770.6
,"Buffalo County, NE",31019,15817.63,180795,1683.8,29223.2
,"Burt County, NE",31021,15013.03,108477,1469.9,28776.6
,"Butler County, NE",31023,15400.41,156689,1684.8,28938.5
,"Cass County, NE",31025,15367.57,132583,1628.7,29397.1
,"Cedar County, NE",31027,14928.97,156689,1598.8,28304.6
,"Chase County, NE",31029,16665.21,180795,2077.6,30077.3
,"Cherry County, NE",31031,15675.88,1301724,1742.8,29072
,"Cheyenne County, NE",31033,16479.65,216954,2140.8,29657.2
,"Clay County, NE",31035,15733.4,108477,1640.4,29070.4
,"Colfax County, NE",31037,15259.15,96424,1605.1,28844.1
,"Cuming County, NE",31039,15024.56,144636,1469.2,28579.9
,"Custer County, NE",31041,15777.93,578544,1828.6,29192.9
,"Dakota County, NE",31043,14924.74,72318,1519.3,28367.2
,"Dawes County, NE",31045,16062.27,349537,1787.6,29108.8
,"Dawson County, NE",31047,16013.05,192848,1729.3,29077.8
,"Deuel County, NE",31049,16422.26,120530,2121.5,29820
,"Dixon County, NE",31051,14884.83,108477,1622.7,28137.2
,"Dodge County, NE",31053,15149.14,120530,1534.8,28913.3
,"Douglas County, NE",31055,15170.73,60265,1592.3,29267.4
,"Dundy County, NE",31057,16773.94,180795,2075.8,29783.3
,"Fillmore County, NE",31059,15719.78,144636,1781.2,29181.5
,"Franklin County, NE",31061,16098.49,108477,1772.7,28882.8
,"Frontier County, NE",31063,16343.19,204901,1749.1,29499.1
,"Furnas County, NE",31065,16373.85,180795,1654.6,29363.4
,"Gage County, NE",31067,15677.92,144636,1893.2,28987
,"Garden County, NE",31069,16278.25,337484,2004,29769.5
,"Garfield County, NE",31071,15351.45,144636,1759,28723.2
,"Gosper County, NE",31073,16167.6,120530,1720.9,29033.4
,"Grant County, NE",31075,16069.54,204901,1937.9,29536.2
,"Greeley County, NE",31077,15402.09,144636,1722.2,28686.5
,"Hall County, NE",31079,15652.29,96424,1690,29297.8
,"Hamilton County, NE",31081,15606.08,84371,1650.6,29019
,"Harlan County, NE",31083,16229.85,144636,1712.7,29269.3
,"Hayes County, NE",31085,16509.75,180795,2062.7,29863.5
,"Hitchcock County, NE",31087,16646.16,180795,2061.9,29633
,"Holt County, NE",31089,15210.13,530332,1725,29274.5
,"Hooker County, NE",31091,15889.72,144636,1817.5,29318.8
,"Howard County, NE",31093,15519.61,144636,1800.4,29161.9
,"Jefferson County, NE",31095,15782.67,144636,1921.2,29002.9
,"Johnson County, NE",31097,15510.71,96424,1905.1,28957
,"Kearney County, NE",31099,15920.71,72318,1777.5,28847.5
,"Keith County, NE",31101,16352.99,216954,2148.2,29821.8
,"Keya Paha County, NE",31103,15230.31,180795,1663.6,29234
,"Kimball County, NE",31105,16475.67,180795,2282.8,29220
,"Knox County, NE",31107,15050.15,241060,1581,28835.5
,"Lancaster County, NE",31109,15488.21,144636,1562.8,29109.5
,"Lincoln County, NE",31111,16194.92,482120,1863.4,29784.9
,"Logan County, NE",31113,15897.33,144636,1948.6,29238.3
,"Loup County, NE",31115,15433.81,108477,1787,28758.6
,"McPherson County, NE",31117,16084.37,180795,2087.3,29545.8
,"Madison County, NE",31119,15189.5,144636,1622,28617.4
,"Merrick County, NE",31121,15474.04,84371,1820.1,29102.6
,"Morrill County, NE",31123,16306.91,361590,2067.3,29446.2
,"Nance County, NE",31125,15369.65,96424,1777.3,29055.7
,"Nemaha County, NE",31127,15410.92,72318,1752.5,29366.2
,"Nuckolls County, NE",31129,15908.96,108477,1987.8,29005.8
,"Otoe County, NE",31131,15439.24,132583,1768.1,29153.2
,"Pawnee County, NE",31133,15558.06,96424,1772.2,29013
,"Perkins County, NE",31135,16487,144636,1987.5,30027.8
,"Phelps County, NE",31137,16079.28,96424,1733.5,29084.8
,"Pierce County, NE",31139,15114.32,132583,1684.4,28311.7
,"Platte County, NE",31141,15296.64,168742,1700.7,28757.4
,"Polk County, NE",31143,15479.85,108477,1779.6,29056.8
,"Red Willow County, NE",31145,16528.38,144636,1634.5,29595.6
,"Richardson County, NE",31147,15439.47,108477,1645.5,29264.3
,"Rock County, NE",31149,15293.81,180795,1755.3,29129.3
,"Saline County, NE",31151,15634.45,144636,1664.6,29137.2
,"Sarpy County, NE",31153,15253.16,72318,1616.7,29374.3
,"Saunders County, NE",31155,15313.08,156689,1609.9,29346.5
,"Scotts Bluff County, NE",31157,16285.99,120530,2157.1,29143.6
,"Seward County, NE",31159,15497.66,96424,1624.3,28992.3
,"Sheridan County, NE",31161,16047.68,518279,1994.5,29326.2
,"Sherman County, NE",31163,15615.49,144636,1833,29114.4
,"Sioux County, NE",31165,16178.27,397749,1778.4,29174.8
,"Stanton County, NE",31167,15089.3,108477,1611.8,28633.5
,"Thayer County, NE",31169,15852.97,144636,1915.5,29012.4
,"Thomas County, NE",31171,15691.02,180795,1834,29014.7
,"Thurston County, NE",31173,14952.66,72318,1437.1,28354
,"Valley County, NE",31175,15476.75,144636,1803.4,28860.3
,"Washington County, NE",31177,15122.26,72318,1517.4,29194.6
,"Wayne County, NE",31179,14978.29,84371,1527.7,28318.4
,"Webster County, NE",31181,16006.01,144636,1777.8,29011.3
,"Wheeler County, NE",31183,15274.22,144636,1728.6,28648.8
,"York County, NE",31185,15578.61,96424,1663.2,29025.6
,"Churchill County, NV",32001,17956.78,1024505,2263.1,31811.8
,"Clark County, NV",32003,19424.2,1687420,2399.5,31985.5
,"Douglas County, NV",32005,18491.07,156689,2828.1,31409.4
,"Elko County, NV",32007,16979.17,3724377,2027.7,30903.7
,"Esmeralda County, NV",32009,19090.34,759339,2816.7,32194.9
,"Eureka County, NV",32011,17438.91,964240,2057,30555.7
,"Humboldt County, NV",32013,17205.88,2097222,1992.8,31754.7
,"Lander County, NV",32015,17438.72,1132982,2068.3,30832.6
,"Lincoln County, NV",32017,18863.22,2109275,2355.2,31786
,"Lyon County, NV",32019,18427.2,433908,2692.7,31444.2
,"Mineral County, NV",32021,18667.35,819604,2712.1,31455.8
,"Nye County, NV",32023,18715.43,3712324,2387.1,32449.2
,"Pershing County, NV",32027,17692.14,1289671,2262.5,31925.5
,"Storey County, NV",32029,18528.72,48212,2798.9,31744.9
,"Washoe County, NV",32031,17943.45,1410201,2193.4,32596.3
,"White Pine County, NV",32033,17680.74,1952586,2709.5,30836.8
,"Carson City, NV",32510,18498.76,24106,2990.6,30984.4
,"Belknap County, NH",33001,14305.98,108477,1776.5,30416.9
,"Carroll County, NH",33003,14198.3,204901,1736,30679.4
,"Cheshire County, NH",33005,14165.88,144636,1753.1,29179.5
,"Coos County, NH",33007,13335.27,421855,1470.3,30919.5
,"Grafton County, NH",33009,13707.38,385696,1496.9,29758.9
,"Hillsborough County, NH",33011,14293.14,180795,1655.6,30147.3
,"Merrimack County, NH",33013,14212.56,204901,1707.7,29920.7
,"Rockingham County, NH",33015,14685.55,168742,1570.9,33518.3
,"Strafford County, NH",33017,14410.52,72318,1652.5,31123.2
,"Sullivan County, NH",33019,14007.95,132583,1716.3,28912.8
,"Atlantic County, NJ",34001,15781.4,108477,1531.4,31243.6
,"Bergen County, NJ",34003,15146.02,60265,1660.3,33822.2
,"Burlington County, NJ",34005,15331.25,168742,1701.7,31540
,"Camden County, NJ",34007,15169.71,60265,1553.9,29841
,"Cape May County, NJ",34009,16696.23,36159,1622.9,31391.5
,"Cumberland County, NJ",34011,15634.76,120530,1528.4,30630.1
,"Essex County, NJ",34013,14934.45,36159,1684.4,30634.5
,"Gloucester County, NJ",34015,15203.76,72318,1512.2,30006.2
,"Hudson County, NJ",34017,15356.93,12053,1756,30965.4
,"Hunterdon County, NJ",34019,14859.13,108477,1663.4,30072.8
,"Mercer County, NJ",34021,14984.25,48212,1775.3,29997.1
,"Middlesex County, NJ",34023,15099.43,72318,1830.7,30909.5
,"Monmouth County, NJ",34025,15632.67,96424,1805.1,31517.1
,"Morris County, NJ",34027,14787.79,96424,1673,29877.7
,"Ocean County, NJ",34029,15925.35,120530,1640.2,31717
,"Passaic County, NJ",34031,14800.18,36159,1675.9,30302.4
,"Salem County, NJ",34033,15301.97,60265,1478.8,30015.4
,"Somerset County, NJ",34035,14922.63,72318,1759.9,30254.2
,"Sussex County, NJ",34037,14705.62,120530,1581.2,29792.1
,"Union County, NJ",34039,15146.37,12053,1835.3,30472.7
,"Warren County, NJ",34041,14728.68,84371,1600.1,29438.4
,"Bernalillo County, NM",35001,19105.29,253113,3064.2,31233.8
,"Catron County, NM",35003,19028.99,1277618,3371.5,31536.7
,"Chaves County, NM",35005,19556.97,1120929,2582.8,31016.5
,"Cibola County, NM",35006,18923.08,891922,3129.5,30961.7
,"Colfax County, NM",35007,18441.1,759339,2813,30799.4
,"Curry County, NM",35009,19039.1,325431,2964.4,30427.7
,"DeBaca County, NM",35011,19352.69,458014,2553.7,30434.3
,"Dona Ana County, NM",35013,19991.22,699074,2905.5,31574.6
,"Eddy County, NM",35015,19623.43,867816,2523.9,30774.6
,"Grant County, NM",35017,19959.35,759339,3063.7,32193.1
,"Guadalupe County, NM",35019,19264.85,590597,2706.6,31146.1
,"Harding County, NM",35021,19038.52,445961,2687.6,31058.1
,"Hidalgo County, NM",35023,20364.15,578544,3208,31645.5
,"Lea County, NM",35025,19541.24,940134,2476.6,30712.1
,"Lincoln County, NM",35027,19176.52,952187,2882.4,30899.6
,"Los Alamos County, NM",35028,18566.14,12053,3674.1,29891.2
,"Luna County, NM",35029,20337.07,638809,2997.3,31725.6
,"McKinley County, NM",35031,18529.02,988346,2937.6,31225
,"Mora County, NM",35033,18775.35,409802,2914.6,30862.6
,"Otero County, NM",35035,19563.92,1241459,2907.5,30838.9
,"Quay County, NM",35037,18997.12,590597,2572.4,30980.4
,"Rio Arriba County, NM",35039,18221.1,1157088,2754.2,31035.1
,"Roosevelt County, NM",35041,19222.03,445961,2687.4,30347.1
,"Sandoval County, NM",35043,18719.37,711127,3240.8,31338.1
,"San Juan County, NM",35045,18457.22,1072717,2967.5,31399.7
,"San Miguel County, NM",35047,19106.91,940134,2683.1,31262.7
,"Santa Fe County, NM",35049,18874.09,385696,3143,31149.9
,"Sierra County, NM",35051,19770.07,843710,2775,31317.2
,"Socorro County, NM",35053,19473.73,1361989,2960.5,31233.6
,"Taos County, NM",35055,17949.14,445961,3852.3,30262.6
,"Torrance County, NM",35057,19122.37,662915,3274.7,30950.2
,"Union County, NM",35059,18726.72,783445,2610.3,30879.5
,"Valencia County, NM",35061,19201.38,204901,3048.3,31250.7
,"Albany County, NY",36001,14228.03,108477,1610.2,30347
,"Allegany County, NY",36003,13715.51,192848,1649.1,28579.4
,"Bronx County, NY",36005,16347.27,12053,1819.9,34059.1
,"Broome County, NY",36007,13654.12,168742,1476.2,28466.9
,"Cattaraugus County, NY",36009,13584.84,289272,1535.4,28051.4
,"Cayuga County, NY",36011,13683.34,180795,1412.4,29816
,"Chautauqua County, NY",36013,13663.71,241060,1421.3,27918.8
,"Chemung County, NY",36015,13748.13,96424,1567.3,28679.6
,"Chenango County, NY",36017,13637.18,204901,1449.5,28500.6
,"Clinton County, NY",36019,13628.76,265166,1472.4,31357.8
,"Columbia County, NY",36021,14271.84,144636,1565.8,29777
,"Cortland County, NY",36023,13630.83,108477,1432.3,28318
,"Delaware County, NY",36025,13774.7,289272,1496.3,28240.6
,"Dutchess County, NY",36027,14562.98,204901,1585.5,30050.9
,"Erie County, NY",36029,13842.57,204901,1467.5,32874.2
,"Essex County, NY",36031,13652.36,421855,1527.4,31226.7
,"Franklin County, NY",36033,13130.09,385696,1511.1,29900.1
,"Fulton County, NY",36035,14193.42,120530,1592.8,30048.1
,"Genesee County, NY",36037,14525.8,108477,1533.6,32883.9
,"Greene County, NY",36039,14236.93,156689,1522.2,29528.2
,"Hamilton County, NY",36041,13530.47,409802,1513.7,29583.9
,"Herkimer County, NY",36043,13566.86,337484,1483.2,29481.3
,"Jefferson County, NY",36045,13749.9,301325,1151.5,30548.3
,"Kings County, NY",36047,16509.32,12053,1731.5,33980.5
,"Lewis County, NY",36049,13405.76,289272,1384.7,28999.4
,"Livingston County, NY",36051,13598.48,132583,1447.6,29054.7
,"Madison County, NY",36053,13726.14,120530,1466,28589.9
,"Monroe County, NY",36055,15198.14,144636,1504.3,32943.1
,"Montgomery County, NY",36057,14230.87,96424,1639.1,30295.1
,"Nassau County, NY",36059,16465.82,60265,1674.2,33868.8
,"New York County, NY",36061,16237.04,12053,1736.8,33957.3
,"Niagara County, NY",36063,15234.31,84371,1497.4,33563.5
,"Oneida County, NY",36065,13716.46,277219,1522.1,29386.3
,"Onondaga County, NY",36067,13680.24,204901,1481.8,29928.4
,"Ontario County, NY",36069,13747.38,144636,1418,29970.2
,"Orange County, NY",36071,14641.77,192848,1605.4,30230.6
,"Orleans County, NY",36073,15363.02,96424,1613.9,33438.3
,"Oswego County, NY",36075,13830.73,229007,1484.9,30677.1
,"Otsego County, NY",36077,13811.44,229007,1553.9,29010.9
,"Putnam County, NY",36079,14662.73,48212,1671,29948.7
,"Queens County, NY",36081,16525.61,12053,1772.7,34025.4
,"Rensselaer County, NY",36083,13889.22,156689,1617.9,29875.9
,"Richmond County, NY",36085,15729.3,12053,1837.8,31125.6
,"Rockland County, NY",36087,14938.66,36159,1711.1,30859.8
,"St. Lawrence County, NY",36089,13335.28,626756,1433.5,30663.4
,"Saratoga County, NY",36091,14131.68,180795,1728.6,30384.8
,"Schenectady County, NY",36093,14250.77,48212,1697.2,30380.3
,"Schoharie County, NY",36095,14145.09,120530,1679.6,30221.4
,"Schuyler County, NY",36097,13596.36,84371,1531.5,28451.5
,"Seneca County, NY",36099,13662.8,84371,1407.9,30079.8
,"Steuben County, NY",36101,13740.66,313378,1515.2,28855.4
,"Suffolk County, NY",36103,16303.96,216954,1562.6,33493.8
,"Sullivan County, NY",36105,14409.6,216954,1587.9,29850.9
,"Tioga County, NY",36107,13710.81,84371,1493.2,28337.1
,"Tompkins County, NY",36109,13598.89,120530,1460.5,28458.2
,"Ulster County, NY",36111,14536.64,229007,1599.9,29855.9
,"Warren County, NY",36113,13959.57,204901,1638.5,29853.2
,"Washington County, NY",36115,13763.65,192848,1616.5,29877.9
,"Wayne County, NY",36117,14608.21,132583,1437.4,33217.3
,"Westchester County, NY",36119,15136.59,108477,1741.7,33803.1
,"Wyoming County, NY",36121,13769.64,144636,1517.5,28760.4
,"Yates County, NY",36123,13702.68,72318,1464.5,29645.3
,"Alamance County, NC",37001,16357,72318,1776.1,32389.8
,"Alexander County, NC",37003,16360.97,48212,1843.5,32524.8
,"Alleghany County, NC",37005,15909.32,72318,1920.5,29970
,"Anson County, NC",37007,16759.5,96424,1887.1,34333.6
,"Ashe County, NC",37009,15724.05,96424,2048.8,28958.5
,"Avery County, NC",37011,15869.7,48212,2260.1,28728.3
,"Beaufort County, NC",37013,16565.49,168742,1859.4,33602.7
,"Bertie County, NC",37015,16241.19,156689,1674,34314.9
,"Bladen County, NC",37017,16692.34,168742,2006.7,34559
,"Brunswick County, NC",37019,17802.63,168742,2089.2,37208.5
,"Buncombe County, NC",37021,16347.56,108477,2232.3,29161.4
,"Burke County, NC",37023,16397.72,108477,1976.4,32186.7
,"Cabarrus County, NC",37025,16602,60265,1839,33855.1
,"Caldwell County, NC",37027,16285.49,96424,1975.8,31622.2
,"Camden County, NC",37029,16397.66,36159,1720.5,32882.8
,"Carteret County, NC",37031,18141.8,84371,1749.2,35355.3
,"Caswell County, NC",37033,16196.64,72318,1895.2,31603.6
,"Catawba County, NC",37035,16607.51,96424,1947,32817.7
,"Chatham County, NC",37037,16442.1,144636,1768.6,33575.7
,"Cherokee County, NC",37039,16020.15,96424,2090.1,32686.5
,"Chowan County, NC",37041,16539.51,48212,1755.4,34372.7
,"Clay County, NC",37043,16091.45,24106,2169.9,28954.9
,"Cleveland County, NC",37045,16734.78,108477,1902.4,33276.2
,"Columbus County, NC",37047,16903,180795,2010.3,34354
,"Craven County, NC",37049,16672.4,96424,1803,35428.6
,"Cumberland County, NC",37051,16504.77,132583,1892.2,34208.7
,"Currituck County, NC",37053,17418.58,36159,1769.9,33819.1
,"Dare County, NC",37055,17977.3,60265,1797.6,34307.4
,"Davidson County, NC",37057,16501.2,144636,1888.3,33167
,"Davie County, NC",37059,16451.14,48212,1897.3,32860.5
,"Duplin County, NC",37061,16427.11,132583,1978.6,33401.6
,"Durham County, NC",37063,16277.56,72318,1792.2,32457.7
,"Edgecombe County, NC",37065,16167.15,96424,1885.2,33532.8
,"Forsyth County, NC",37067,16326.43,96424,1983.7,32403.8
,"Franklin County, NC",37069,16149.3,96424,1788.5,32689.6
,"Gaston County, NC",37071,16717.64,60265,1871.2,33743.2
,"Gates County, NC",37073,16053.9,60265,1669.9,33540.1
,"Graham County, NC",37075,15848.29,60265,2134.5,29641.6
,"Granville County, NC",37077,16187.35,84371,1836.8,32156.2
,"Greene County, NC",37079,16243.31,60265,1913.9,33633.1
,"Guilford County, NC",37081,16334.9,144636,1751.2,32310.3
,"Halifax County, NC",37083,16125.07,132583,1837.7,33223.2
,"Harnett County, NC",37085,16393.37,96424,1823.4,33781.5
,"Haywood County, NC",37087,16117.1,120530,2188.5,29284.6
,"Henderson County, NC",37089,16592.13,84371,2219.7,30694.5
,"Hertford County, NC",37091,16106.38,48212,1684.1,33378.3
,"Hoke County, NC",37093,16578.94,60265,1830.9,34300.3
,"Hyde County, NC",37095,16948.37,132583,1856.5,33657
,"Iredell County, NC",37097,16502.31,108477,1849.7,32692.9
,"Jackson County, NC",37099,16192.52,96424,2181.9,30206.4
,"Johnston County, NC",37101,16315.88,156689,1857.6,33693.7
,"Jones County, NC",37103,16599.12,96424,1766.1,33500.9
,"Lee County, NC",37105,16403.9,72318,1766.5,33441.3
,"Lenoir County, NC",37107,16332.6,96424,1988.8,33390.3
,"Lincoln County, NC",37109,16643.43,48212,1912.1,32780.9
,"McDowell County, NC",37111,16457.61,96424,2180.6,31255.2
,"Macon County, NC",37113,16279.46,96424,2181.5,29862.9
,"Madison County, NC",37115,15797.69,96424,2107,29362.9
,"Martin County, NC",37117,16245.69,84371,1814.5,33550.6
,"Mecklenburg County, NC",37119,16686.35,108477,1838.3,33991.2
,"Mitchell County, NC",37121,15811.75,36159,2353.3,28619.8
,"Montgomery County, NC",37123,16606.53,108477,1790.9,34209.8
,"Moore County, NC",37125,16482.7,144636,1761.6,33581.8
,"Nash County, NC",37127,16147.04,96424,1829.2,33055.9
,"New Hanover County, NC",37129,17871.64,36159,1938.6,33576.3
,"Northampton County, NC",37131,16080.31,108477,1713,33003.8
,"Onslow County, NC",37133,17127.85,132583,1847,35029.2
,"Orange County, NC",37135,16335.47,72318,1795.7,32233.7
,"Pamlico County, NC",37137,16935.53,72318,1955.6,33341.9
,"Pasquotank County, NC",37139,16434.06,36159,1762,32984.2
,"Pender County, NC",37141,16909.51,168742,1958.5,33434.7
,"Perquimans County, NC",37143,16347.29,60265,1719.1,33861
,"Person County, NC",37145,16211.12,72318,1883.9,31933.6
,"Pitt County, NC",37147,16300.61,120530,1884.7,33575.1
,"Polk County, NC",37149,16725.86,48212,2036.9,31724.5
,"Randolph County, NC",37151,16475.47,144636,1785.4,33080.7
,"Richmond County, NC",37153,16669.13,84371,1840.3,34682
,"Robeson County, NC",37155,16755.6,192848,2000.2,34633.6
,"Rockingham County, NC",37157,16213.63,96424,1926.2,31872.7
,"Rowan County, NC",37159,16574.38,96424,1857.1,33268.3
,"Rutherford County, NC",37161,16639.44,120530,1967.5,32319.4
,"Sampson County, NC",37163,16469.02,204901,1977.9,34059.9
,"Scotland County, NC",37165,16679.5,60265,1933.7,34632.9
,"Stanly County, NC",37167,16702.98,96424,1868.9,34347
,"Stokes County, NC",37169,16261.51,96424,1976.4,32421.6
,"Surry County, NC",37171,16230.9,96424,1874.2,32352.7
,"Swain County, NC",37173,15982.07,108477,2129.3,29619.5
,"Transylvania County, NC",37175,16558.63,72318,2220.9,30377.2
,"Tyrrell County, NC",37177,16594.69,96424,1779.7,33114.2
,"Union County, NC",37179,16796.6,108477,1866.8,34332.8
,"Vance County, NC",37181,16170.95,60265,1833.4,31932.8
,"Wake County, NC",37183,16282.7,180795,1774.1,33603.1
,"Warren County, NC",37185,16166.94,60265,1921.5,32310.3
,"Washington County, NC",37187,16299.65,72318,1728.9,33807.9
,"Watauga County, NC",37189,15815.85,60265,2176.2,29190
,"Wayne County, NC",37191,16278.64,108477,1914.1,33615.2
,"Wilkes County, NC",37193,16244.52,156689,1813.6,32451.3
,"Wilson County, NC",37195,16229.98,72318,1858.4,33668.7
,"Yadkin County, NC",37197,16361.57,72318,1840.2,32647.1
,"Yancey County, NC",37199,15934.05,60265,2258.4,28319.9
,"Adams County, ND",38001,14939.35,192848,1454,29609.5
,"Barnes County, ND",38003,14513.28,397749,1395.6,29814.2
,"Benson County, ND",38005,14426.91,313378,1427.5,29870.5
,"Billings County, ND",38007,14685.24,289272,1579.5,29647.5
,"Bottineau County, ND",38009,14344.47,470067,1403.7,30088.3
,"Bowman County, ND",38011,14957.58,192848,1723.7,29552.8
,"Burke County, ND",38013,14340.06,313378,1357.1,29937.1
,"Burleigh County, ND",38015,14737.89,397749,1485.5,29884.4
,"Cass County, ND",38017,14446.77,421855,1389.2,29723.7
,"Cavalier County, ND",38019,14021.59,409802,1078.4,29674.7
,"Dickey County, ND",38021,14647.92,253113,1427.2,29308.4
,"Divide County, ND",38023,14301,301325,1436.8,30025
,"Dunn County, ND",38025,14568.15,458014,1557.4,29405.4
,"Eddy County, ND",38027,14436.91,144636,1417.3,29580.1
,"Emmons County, ND",38029,14754.14,361590,1418.6,29585.8
,"Foster County, ND",38031,14455.52,144636,1350.6,29507.4
,"Golden Valley County, ND",38033,14690.39,241060,1509.9,29794.6
,"Grand Forks County, ND",38035,14283.18,409802,1373.9,29784.4
,"Grant County, ND",38037,14826.12,397749,1419.5,29493.5
,"Griggs County, ND",38039,14488.35,144636,1401.1,29751.6
,"Hettinger County, ND",38041,14846.76,253113,1487.1,29464
,"Kidder County, ND",38043,14694.35,361590,1466.9,29404.3
,"LaMoure County, ND",38045,14554.14,289272,1431,29464.1
,"Logan County, ND",38047,14670.93,253113,1470.2,29146.7
,"McHenry County, ND",38049,14480.64,421855,1309.4,29609.5
,"McIntosh County, ND",38051,14764.31,168742,1523.5,28895.5
,"McKenzie County, ND",38053,14543.77,638809,1408.4,30042.7
,"McLean County, ND",38055,14580.57,614703,1446.5,29638.1
,"Mercer County, ND",38057,14565.49,253113,1514.6,29520.7
,"Morton County, ND",38059,14755.71,458014,1445.6,29881.2
,"Mountrail County, ND",38061,14461.33,445961,1332.9,29614.3
,"Nelson County, ND",38063,14345.31,277219,1409,29337.3
,"Oliver County, ND",38065,14714.27,156689,1635.9,29884.1
,"Pembina County, ND",38067,14009.77,301325,1222.8,29944.3
,"Pierce County, ND",38069,14428,216954,1414.8,29599
,"Ramsey County, ND",38071,14323.23,325431,1428.5,29951.9
,"Ransom County, ND",38073,14471.88,216954,1442.5,29377
,"Renville County, ND",38075,14363.67,168742,1295.6,29979.6
,"Richland County, ND",38077,14380.2,337484,1433.4,29583.9
,"Rolette County, ND",38079,14233.88,241060,1478.5,29456.1
,"Sargent County, ND",38081,14445.7,216954,1458,29397.5
,"Sheridan County, ND",38083,14502.72,216954,1499.1,29576.5
,"Sioux County, ND",38085,14858.64,180795,1376.9,29710.2
,"Slope County, ND",38087,14848.33,301325,1771.9,29498.7
,"Stark County, ND",38089,14746.88,325431,1503.6,29562.7
,"Steele County, ND",38091,14449.91,144636,1344.5,29934.9
,"Stutsman County, ND",38093,14549.18,578544,1344.3,29756.7
,"Towner County, ND",38095,14134.29,241060,1240,29655.6
